Data Source;World Development Indicators;;
Last Updated Date;22/12/22;;
;;;
Country Name;Country Code;2017;2018
Aruba;ABW;1,839;1,587
Africa Eastern and Southern;AFE;4,570410327;4,527706569
Afghanistan;AFG;5,129;5,002
Africa Western and Central;AFW;5,255345371;5,186319419
Angola;AGO;5,6;5,519
Albania;ALB;1,491;1,44
Andorra;AND;;
Arab World;ARB;3,325881933;3,279993753
United Arab Emirates;ARE;1,419;1,356
Argentina;ARG;2,168;2,039
Armenia;ARM;1,562;1,572
American Samoa;ASM;;
Antigua and Barbuda;ATG;1,485;1,371
Australia;AUS;1,741;1,74
Austria;AUT;1,52;1,47
Azerbaijan;AZE;1,75;1,73
Burundi;BDI;5,481;5,38
Belgium;BEL;1,65;1,62
Benin;BEN;5,269;5,199
Burkina Faso;BFA;5,162;5,069
Bangladesh;BGD;2,043;2,04
Bulgaria;BGR;1,56;1,56
Bahrain;BHR;2,006;1,93
Bahamas, The;BHS;1,426;1,412
Bosnia and Herzegovina;BIH;1,355;1,384
Belarus;BLR;1,541;1,448
Belize;BLZ;2,36;2,345
Bermuda;BMU;1,4;1,3
Bolivia;BOL;2,777;2,73
Brazil;BRA;1,736;1,749
Barbados;BRB;1,615;1,619
Brunei Darussalam;BRN;1,881;1,848
Bhutan;BTN;1,704;1,569
Botswana;BWA;2,91;2,903
Central African Republic;CAF;6,048;6,037
Canada;CAN;1,54;1,5
Central Europe and the Baltics;CEB;1,568123448;1,574501438
Switzerland;CHE;1,52;1,52
Channel Islands;CHI;1,466;1,435
Chile;CHL;1,598;1,564
China;CHN;1,813;1,554
Cote d'Ivoire;CIV;4,742;4,611
Cameroon;CMR;4,774;4,694
Congo, Dem. Rep.;COD;6,349;6,302
Congo, Rep.;COG;4,433;4,367
Colombia;COL;1,818;1,787
Comoros;COM;4,278;4,196
Cabo Verde;CPV;2,091;1,964
Costa Rica;CRI;1,74;1,709
Caribbean small states;CSS;1,742141353;1,713576886
Cuba;CUB;1,593;1,631
Curacao;CUW;1,5;1,7
Cayman Islands;CYM;;
Cyprus;CYP;1,322;1,32
Czechia;CZE;1,69;1,71
Germany;DEU;1,57;1,57
