Data Source;World Development Indicators;;
Last Updated Date;22/12/22;;
;;;
Country Name;Country Code;2017;2018
Aruba;ABW;75,903;76,072
Africa Eastern and Southern;AFE;62,9223846;63,36585795
Afghanistan;AFG;63,016;63,081
Africa Western and Central;AFW;56,88844583;57,18913927
Angola;AGO;61,68;62,144
Albania;ALB;79,047;79,184
Andorra;AND;;
Arab World;ARB;71,429596;71,63301665
United Arab Emirates;ARE;79,504;79,627
Argentina;ARG;76,833;76,999
Armenia;ARM;74,906;75,064
American Samoa;ASM;;
Antigua and Barbuda;ATG;78,268;78,511
Australia;AUS;82,5;82,74878049
Austria;AUT;81,64390244;81,69268293
Azerbaijan;AZE;72,248;72,76
Burundi;BDI;61,553;61,688
Belgium;BEL;81,49268293;81,59512195
Benin;BEN;59,856;60,14
Burkina Faso;BFA;59,536;60,047
Bangladesh;BGD;71,788;72,567
Bulgaria;BGR;74,81463415;74,96341463
Bahrain;BHR;79,689;79,857
Bahamas, The;BHS;73,632;73,806
Bosnia and Herzegovina;BIH;76,935;77,093
Belarus;BLR;74,12926829;74,17560976
Belize;BLZ;73,562;73,703
Bermuda;BMU;81,44195122;81,65170732
Bolivia;BOL;67,701;67,748
Brazil;BRA;74,827;75,109
Barbados;BRB;76,936;77,067
Brunei Darussalam;BRN;74,722;74,712
Bhutan;BTN;70,847;71,129
Botswana;BWA;66,753;65,422
Central African Republic;CAF;53,721;54,369
Canada;CAN;81,9;82,04878049
Central Europe and the Baltics;CEB;76,94744264;76,97682268
Switzerland;CHE;83,55121951;83,75365854
Channel Islands;CHI;81,331;81,375
Chile;CHL;80,35;80,133
China;CHN;77,248;77,744
Cote d'Ivoire;CIV;58,48;58,849
Cameroon;CMR;60,81;61,18
Congo, Dem. Rep.;COD;59,411;59,942
Congo, Rep.;COG;63,76;64,053
Colombia;COL;76,646;76,748
Comoros;COM;63,625;63,912
Cabo Verde;CPV;76,593;75,733
Costa Rica;CRI;79,377;79,484
Caribbean small states;CSS;72,65568833;72,581215
Cuba;CUB;77,529;77,496
Curacao;CUW;78,01707317;
Cayman Islands;CYM;;
Cyprus;CYP;81,328;81,382
