Data Source;World Development Indicators;;
Last Updated Date;22/12/22;;
;;;
Country Name;Country Code;2017;2018
Aruba;ABW;105439;105962
Africa Eastern and Southern;AFE;632746296;649756874
Afghanistan;AFG;35643418;36686784
Africa Western and Central;AFW;431138704;442646825
Angola;AGO;30208628;31273533
Albania;ALB;2873457;2866376
Andorra;AND;73837;75013
Arab World;ARB;423664839;432545676
United Arab Emirates;ARE;9068296;9140169
Argentina;ARG;44044811;44494502
Armenia;ARM;2851923;2836557
American Samoa;ASM;49463;48424
Antigua and Barbuda;ATG;91119;91626
Australia;AUS;24594202;24966643
Austria;AUT;8797566;8840521
Azerbaijan;AZE;9854033;9939771
Burundi;BDI;11155593;11493472
Belgium;BEL;11375158;11427054
Benin;BEN;11596779;11940683
Burkina Faso;BFA;19835858;20392723
Bangladesh;BGD;161793964;163683958
Bulgaria;BGR;7075947;7025037
Bahrain;BHR;1456834;1487340
Bahamas, The;BHS;399020;401906
Bosnia and Herzegovina;BIH;3440027;3400129
Belarus;BLR;9458989;9438785
Belize;BLZ;374693;382066
Bermuda;BMU;63873;63918
Bolivia;BOL;11435533;11606905
Brazil;BRA;208504960;210166592
Barbados;BRB;279187;279688
Brunei Darussalam;BRN;430276;434274
Bhutan;BTN;756121;762096
Botswana;BWA;2401840;2451409
Central African Republic;CAF;4996741;5094780
Canada;CAN;36545236;37065084
Central Europe and the Baltics;CEB;102740078;102538451
Switzerland;CHE;8451840;8514329
Channel Islands;CHI;165215;167259
Chile;CHL;18368577;18701450
China;CHN;1396215000;1402760000
Cote d'Ivoire;CIV;24848016;25493988
Cameroon;CMR;24393181;25076747
Congo, Dem. Rep.;COD;84283273;87087355
Congo, Rep.;COG;5312340;5441062
Colombia;COL;48351671;49276961
Comoros;COM;761664;776313
Cabo Verde;CPV;564954;571202
Costa Rica;CRI;4993842;5040734
Caribbean small states;CSS;7303634;7374650
Cuba;CUB;11336405;11328244
Curacao;CUW;160175;159336
Cayman Islands;CYM;63581;64884
Cyprus;CYP;1208523;1218831
Czechia;CZE;10594438;10629928
Germany;DEU;82657002;82905782
Djibouti;DJI;1040233;1057198
Dominica;DMA;70403;70823
